carrier,service,at_least_usd,but_less_than_usd,surcharge,scraped_at
FedEx,Ground,3.01,3.28,19.50%,2025-10-15T22:33:43.071309
FedEx,Ground,3.28,3.55,19.75%,2025-10-15T22:33:43.071340
FedEx,Ground,3.55,3.64,20.00%,2025-10-15T22:33:43.071356
FedEx,Ground,3.64,3.73,20.25%,2025-10-15T22:33:43.071366
FedEx,Ground,3.73,3.82,20.50%,2025-10-15T22:33:43.071375
FedEx,Ground,3.82,3.91,20.75%,2025-10-15T22:33:43.071385
FedEx,Ground,3.91,4.00,21.00%,2025-10-15T22:33:43.071393
FedEx,Ground,1.43,1.64,18.25%,2025-10-15T22:33:43.071433
FedEx,Ground,1.64,1.85,18.50%,2025-10-15T22:33:43.071443
FedEx,Ground,1.85,2.06,18.75%,2025-10-15T22:33:43.071454
FedEx,Ground,2.06,2.11,19.00%,2025-10-15T22:33:43.071464
FedEx,Ground,2.11,2.16,19.25%,2025-10-15T22:33:43.071476
FedEx,Ground,2.16,2.21,19.50%,2025-10-15T22:33:43.071492
FedEx,Ground,2.21,2.26,19.75%,2025-10-15T22:33:43.071502
FedEx,Ground,1.91,1.95,23.50%,2025-10-15T22:33:43.071651
FedEx,Ground,1.95,1.99,23.75%,2025-10-15T22:33:43.071660
FedEx,Ground,1.99,2.03,24.00%,2025-10-15T22:33:43.071670
FedEx,Ground,2.03,2.07,24.25%,2025-10-15T22:33:43.071679
FedEx,Ground,2.07,2.11,24.50%,2025-10-15T22:33:43.071688
FedEx,Ground,2.11,2.15,24.75%,2025-10-15T22:33:43.071698
FedEx,Ground,2.15,2.19,25.00%,2025-10-15T22:33:43.071707
