carrier,service,at_least_usd,but_less_than_usd,surcharge,scraped_at
UPS,Ground Domestic,1.93,2.20,18.50%,2025-10-15T22:33:13.094564
UPS,Ground Domestic,2.20,2.47,18.75%,2025-10-15T22:33:13.094586
UPS,Ground Domestic,2.47,2.74,19.00%,2025-10-15T22:33:13.094599
UPS,Ground Domestic,2.74,3.01,19.25%,2025-10-15T22:33:13.094609
UPS,Ground Domestic,3.01,3.28,19.50%,2025-10-15T22:33:13.094619
UPS,Ground Domestic,3.28,3.55,19.75%,2025-10-15T22:33:13.094628
UPS,Ground Domestic,3.55,3.64,20.00%,2025-10-15T22:33:13.094637
UPS,Ground Domestic,3.64,3.73,20.25%,2025-10-15T22:33:13.094646
UPS,Ground Domestic,3.73,3.82,20.50%,2025-10-15T22:33:13.094655
UPS,Ground Domestic,3.82,3.91,20.75%,2025-10-15T22:33:13.094664
UPS,Ground Domestic,3.91,4.00,21.00%,2025-10-15T22:33:13.094673
UPS,Ground Domestic,4.00,4.09,21.25%,2025-10-15T22:33:13.094682
UPS,Ground Domestic,4.09,4.18,21.50%,2025-10-15T22:33:13.094691
UPS,Ground Domestic,4.18,4.27,21.75%,2025-10-15T22:33:13.094699
UPS,Ground Domestic,4.27,4.36,22.00%,2025-10-15T22:33:13.094708
UPS,Ground Domestic,0.38,0.59,17.00%,2025-10-15T22:33:13.094743
UPS,Ground Domestic,0.59,0.80,17.25%,2025-10-15T22:33:13.094754
UPS,Ground Domestic,0.80,1.01,17.50%,2025-10-15T22:33:13.094764
UPS,Ground Domestic,1.01,1.22,17.75%,2025-10-15T22:33:13.094773
UPS,Ground Domestic,1.22,1.43,18.00%,2025-10-15T22:33:13.094782
UPS,Ground Domestic,1.43,1.64,18.25%,2025-10-15T22:33:13.094791
UPS,Ground Domestic,1.64,1.85,18.50%,2025-10-15T22:33:13.094800
UPS,Ground Domestic,1.85,2.06,18.75%,2025-10-15T22:33:13.094808
UPS,Ground Domestic,2.06,2.11,19.00%,2025-10-15T22:33:13.094817
UPS,Ground Domestic,2.11,2.16,19.25%,2025-10-15T22:33:13.094826
UPS,Ground Domestic,2.16,2.21,19.50%,2025-10-15T22:33:13.094837
UPS,Ground Domestic,2.21,2.26,19.75%,2025-10-15T22:33:13.094846
UPS,Ground Domestic,2.26,2.31,20.00%,2025-10-15T22:33:13.094855
UPS,Ground Domestic,2.31,2.36,20.25%,2025-10-15T22:33:13.094864
UPS,Ground Domestic,2.36,2.41,20.50%,2025-10-15T22:33:13.094873
UPS,Ground Domestic,1.75,1.79,21.50%,2025-10-15T22:33:13.094909
UPS,Ground Domestic,1.79,1.83,21.75%,2025-10-15T22:33:13.094919
UPS,Ground Domestic,1.83,1.87,22.00%,2025-10-15T22:33:13.094929
UPS,Ground Domestic,1.87,1.91,22.25%,2025-10-15T22:33:13.094939
UPS,Ground Domestic,1.91,1.95,22.50%,2025-10-15T22:33:13.094949
UPS,Ground Domestic,1.95,1.99,22.75%,2025-10-15T22:33:13.094959
UPS,Ground Domestic,1.99,2.03,23.00%,2025-10-15T22:33:13.094969
UPS,Ground Domestic,2.03,2.07,23.25%,2025-10-15T22:33:13.094978
UPS,Ground Domestic,2.07,2.11,23.50%,2025-10-15T22:33:13.094988
UPS,Ground Domestic,2.11,2.15,23.75%,2025-10-15T22:33:13.094998
UPS,Ground Domestic,2.15,2.19,24.00%,2025-10-15T22:33:13.095007
UPS,Ground Domestic,2.19,2.23,24.25%,2025-10-15T22:33:13.095017
UPS,Ground Domestic,2.23,2.27,24.50%,2025-10-15T22:33:13.095027
UPS,Ground Domestic,2.27,2.31,24.75%,2025-10-15T22:33:13.095037
UPS,Ground Domestic,2.31,2.35,25.00%,2025-10-15T22:33:13.095047
UPS,Ground Domestic,2.78,2.90,19.00%,2025-10-15T22:33:13.095076
UPS,Ground Domestic,2.90,3.02,19.25%,2025-10-15T22:33:13.095085
UPS,Ground Domestic,3.02,3.14,19.50%,2025-10-15T22:33:13.095094
UPS,Ground Domestic,3.14,3.26,19.75%,2025-10-15T22:33:13.095103
UPS,Ground Domestic,3.26,3.38,20.00%,2025-10-15T22:33:13.095112
UPS,Ground Domestic,3.38,3.50,20.25%,2025-10-15T22:33:13.095123
UPS,Ground Domestic,3.50,3.62,20.50%,2025-10-15T22:33:13.095132
UPS,Ground Domestic,3.62,3.74,20.75%,2025-10-15T22:33:13.095140
UPS,Ground Domestic,3.74,3.86,21.00%,2025-10-15T22:33:13.095149
UPS,Ground Domestic,3.86,3.98,21.25%,2025-10-15T22:33:13.095158
UPS,Ground Domestic,3.98,4.10,21.50%,2025-10-15T22:33:13.095171
UPS,Ground Domestic,4.10,4.22,21.75%,2025-10-15T22:33:13.095180
UPS,Ground Domestic,4.22,4.34,22.00%,2025-10-15T22:33:13.095189
UPS,Ground Domestic,4.34,4.46,22.25%,2025-10-15T22:33:13.095198
UPS,Ground Domestic,4.46,4.58,22.50%,2025-10-15T22:33:13.095206
